호선,구분,역명,역번,05:30~,06:00~,06:30~,07:00~,07:30~,08:00~,08:30~,09:00~,09:30~,10:00~,10:30~,11:00~,11:30~,12:00~,12:30~,13:00~,13:30~,14:00~,14:30~,15:00~,15:30~,16:00~,16:30~,17:00~,17:30~,18:00~,18:30~,19:00~,19:30~,20:00~,20:30~,21:00~,21:30~,22:00~,22:30~,23:00~,23:30~,24:00~,24:30~
3,상선,동대입구,322,9,8,10,23,35,47,48,32,31,26,30,38,41,45,54,45,39,42,50,60,57,46,49,59,69,75,94,78,66,50,46,45,43,50,45,34,23,17,9
3,상선,약수,323,8,11,24,36,50,54,34,32,30,32,39,42,45,54,46,39,41,49,58,56,44,46,55,64,71,90,75,61,48,41,42,39,47,43,31,21,17,9,0
3,상선,금호,324,11,7,11,22,34,50,53,34,34,32,33,44,44,47,58,49,43,44,53,65,58,48,52,66,72,85,102,90,70,58,48,50,45,59,49,35,26,19,5
3,상선,옥수,325,9,7,10,20,32,49,46,33,31,30,32,43,43,49,54,48,41,46,54,65,59,49,53,67,71,89,104,92,71,59,49,51,46,61,51,36,26,18,6
3,상선,압구정,326,8,7,11,21,31,50,42,33,31,30,33,45,43,51,57,51,44,50,60,73,64,53,58,73,78,100,113,103,79,66,53,60,52,67,57,41,29,20,4
3,상선,신사,327,7,8,11,22,35,55,50,44,38,34,39,49,46,57,54,51,47,50,60,70,58,52,57,71,71,98,102,90,68,57,46,52,48,59,49,34,25,19,4
3,상선,잠원,328,10,14,25,43,60,60,57,50,41,46,53,50,64,58,54,48,53,64,70,57,52,58,70,70,90,98,83,62,53,40,46,42,49,43,29,23,17,5,0
3,상선,고속터미널,329,7,10,14,25,42,59,60,56,50,40,45,52,50,63,56,54,49,54,65,70,58,53,58,70,70,97,94,84,62,53,43,46,42,51,44,30,24,18,6
3,상선,교대,330,8,11,19,32,49,67,60,56,48,42,51,60,57,73,63,58,54,60,74,78,64,64,70,87,83,128,118,103,74,59,49,54,51,60,54,35,26,21,6
3,상선,남부터미널,331,7,8,17,31,45,64,53,45,40,37,44,50,49,58,51,45,42,45,56,60,49,49,54,70,67,104,98,81,60,46,38,42,42,46,41,24,18,16,4
3,상선,양재,332,8,9,18,31,47,65,58,43,39,35,40,44,43,53,43,37,36,38,49,48,39,43,46,57,57,79,81,67,48,35,31,32,34,38,29,19,15,9,3
3,상선,매봉,333,7,8,14,26,40,56,52,34,31,25,28,29,30,36,29,26,25,24,32,31,25,27,30,35,33,41,42,32,23,17,15,16,17,21,16,10,8,6,2
3,상선,도곡,334,7,9,14,24,42,56,53,34,29,24,27,28,29,34,28,24,24,22,29,27,23,24,28,32,31,32,38,27,19,15,13,14,15,20,14,9,7,6,2
3,상선,대치,335,6,8,14,21,40,50,44,30,25,21,23,23,26,30,24,21,20,20,25,22,20,21,24,27,28,27,31,22,16,12,11,11,13,18,11,8,6,5,2
3,상선,학여울,336,6,6,12,18,35,45,41,27,22,19,22,21,24,26,21,19,18,19,23,20,18,18,22,24,25,23,29,18,13,10,9,9,10,9,8,7,5,5,2
3,상선,대청,337,6,5,11,21,33,51,35,27,21,20,22,20,23,26,21,19,16,18,22,19,17,18,22,24,23,26,25,18,12,10,9,9,9,9,8,6,5,5,2
3,상선,일원,338,6,5,10,18,30,45,33,24,19,18,19,18,21,23,19,17,15,17,20,18,15,15,18,22,17,21,22,15,11,8,8,8,8,8,7,6,5,5,2
3,상선,수서,339,5,5,11,17,28,43,30,21,17,16,17,16,17,19,15,15,13,14,17,14,12,13,13,15,15,20,21,14,10,7,7,7,9,8,7,6,5,4,2
3,상선,가락시장,340,9,14,19,24,39,49,34,20,18,15,15,13,16,17,14,13,12,14,15,13,10,15,15,16,21,22,19,13,9,7,7,7,8,8,6,6,5,3,0
3,상선,경찰병원,341,6,10,12,18,29,35,23,13,13,10,10,9,11,11,9,8,8,10,9,8,7,9,10,10,13,14,11,7,5,5,4,4,4,4,4,3,3,1,0
3,상선,오금,342,5,8,10,14,24,30,21,12,10,9,9,6,9,8,8,7,7,8,8,6,5,7,8,8,10,9,8,6,5,4,3,4,3,4,3,3,3,0,0
3,하선,지축,309,26,24,43,74,90,86,66,75,43,46,38,40,33,33,31,28,30,25,27,25,24,26,30,32,29,36,32,27,19,14,14,13,12,14,20,13,7,3,6
3,하선,구파발,310,11,19,32,47,66,70,55,41,41,42,28,35,24,31,28,35,27,23,20,23,29,26,24,18,25,22,21,16,12,13,10,10,11,13,14,6,5,3,4
